_id.buffer.0,_id.buffer.1,_id.buffer.2,_id.buffer.3,_id.buffer.4,_id.buffer.5,_id.buffer.6,_id.buffer.7,_id.buffer.8,_id.buffer.9,_id.buffer.10,_id.buffer.11,sessionId.buffer.0,sessionId.buffer.1,sessionId.buffer.2,sessionId.buffer.3,sessionId.buffer.4,sessionId.buffer.5,sessionId.buffer.6,sessionId.buffer.7,sessionId.buffer.8,sessionId.buffer.9,sessionId.buffer.10,sessionId.buffer.11,timestamp,engineTemp,fuelTrimShortB1,fuelTrimLongB1,maf,map,o2B1S1Voltage,o2B1S2Voltage,o2B2S1Voltage,o2B2S2Voltage,egtBank1,egtBank2,dataQuality,isInterpolated,__v,createdAt,updatedAt,rpm,throttlePosition,speed,intakeTemp,ambientTemp,engineLoad,absoluteLoad,relativeThrottlePosition,fuelLevel,fuelRate,fuelPressure,fuelRailPressure,fuelRailPressureDirect,fuelTrimShortB2,fuelTrimLongB2,ethanolFuelPercent,barometricPressure,vaporPressure,batteryVoltage,o2B1S3Voltage,o2B1S4Voltage,o2B2S3Voltage,o2B2S4Voltage,o2B1S1WR,o2B1S2WR,o2B1S3WR,o2B1S4WR,o2B2S1WR,o2B2S2WR,o2B2S3WR,o2B2S4WR,timingAdvance,egrError,commandedEGR,secondaryAirStatus,vvtB1,vvtB2,runtime,distanceMIL,distanceClear,catalystTempB1S1,catalystTempB1S2,catalystTempB2S1,catalystTempB2S2,acceleratorPosD,acceleratorPosE,acceleratorPosF,turboPressureA,turboPressureB,chargeAirCoolerTemp,dpfTemperature,dpfPressure,shortTermSecondaryO2B1,longTermSecondaryO2B1,shortTermSecondaryO2B2,longTermSecondaryO2B2,fuelSystemStatus,fuelType
105,182,21,134,34,229,49,111,208,127,145,73,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:21.422Z,192.2,2.34375,-6.25,5.26,51,0.07,0.715,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:22.249Z,2026-03-15T02:12:22.249Z,602.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,134,34,229,49,111,208,127,145,74,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:21.933Z,192.2,2.34375,-6.25,5.26,51,0.07,0.715,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:22.249Z,2026-03-15T02:12:22.249Z,602.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,134,34,229,49,111,208,127,145,75,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:22.022Z,192.2,2.34375,-6.25,5.26,51,0.07,0.58,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:22.249Z,2026-03-15T02:12:22.249Z,602.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,134,34,229,49,111,208,127,145,76,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:22.116Z,192.2,2.34375,-6.25,5.26,51,0.07,0.58,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:22.250Z,2026-03-15T02:12:22.250Z,602.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,134,34,229,49,111,208,127,145,77,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:22.116Z,192.2,2.34375,-6.25,5.26,51,0.07,0.58,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:22.250Z,2026-03-15T02:12:22.250Z,602.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,136,34,229,49,111,208,127,145,101,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:22.651Z,192.2,2.34375,-6.25,5.26,51,0.07,0.58,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:24.105Z,2026-03-15T02:12:24.105Z,602.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,136,34,229,49,111,208,127,145,102,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:22.711Z,192.2,-1.5625,-6.25,5.26,51,0.07,0.58,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:24.105Z,2026-03-15T02:12:24.105Z,602.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,136,34,229,49,111,208,127,145,103,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:22.831Z,192.2,-1.5625,-6.25,5.26,51,0.07,0.58,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:24.106Z,2026-03-15T02:12:24.106Z,616.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,136,34,229,49,111,208,127,145,104,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:23.010Z,192.2,-1.5625,-6.25,5.26,51,0.07,0.58,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:24.106Z,2026-03-15T02:12:24.106Z,616.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,136,34,229,49,111,208,127,145,105,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:23.100Z,192.2,-1.5625,-6.25,5.26,51,0.07,0.58,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:24.106Z,2026-03-15T02:12:24.106Z,616.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
